日付,内容,備考
2022/12/25,フッタと著作権表記の追加と、Webサイト構成の変更,管理しやすくするためのもの
2022/12/16,ページ「活動について」の追加,---
2022/12/15,宣伝用メール配信と、マップ画像の修正,---
2022/12/14,スマホ向け表示が乱れる問題の修正,---
2022/12/14,ページ「変更履歴」の追加,---
2022/12/12,Webサイトデザインの改良,---
2022/12/08,Webサイトデザインの追加と、サイトの宣伝用のメール作成,---
2022/12/01,Webサイト完成(仮),今後は機能追加を中心に活動
2022/11/24,メニューボタンの不具合を修正し、写真を追加,---
2022/11/17,トップページ完成,変わる可能性アリ
2022/11/10,サイト内でページを移動できなかった問題を修正,---
2022/10/27,スマホ向け表示のボタン画像を追加,---
2022/10/20,Webサイトデザインの追加・修正,---
2022/10/13,マップ画像のミスを修正,---
2022/10/06,マップの印刷と設置,---
2022/07/21,マップの印刷と設置,---
2022/07/14,Webサイトのアンケート用フォームを作製,https://forms.office.com/r/B8bNGCQMdv
2022/07/07,マップとサイトQRコードなどの印刷,---
2022/06/30,サイトの大枠が完成,各ページごと順次追加・改良する
2022/06/23,マップ画像の大枠が完成,各エリア完成次第追加予定
2022/06/16,マップ画像の制作と追加,---
2022/06/09,Webサイト制作開始,---
